Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0112.jpg_bird_122589_frame0121.jp,g,0.9139708330037795,0.9841154,160,68,38,214,74,327
bat_111511_frame0112.jpg_bird_122589_frame0165.jp,g,0.8999062846530879,0.9852678,192,348,38,214,30,211
bat_111511_frame0112.jpg_bird_166055_frame0127.jp,g,0.8051535045979149,0.98708737,116,284,38,214,91,316
bat_111511_frame0112.jpg_bird_166055_frame0268.jp,g,0.9873742520847778,0.9586013,116,116,38,214,42,107
bat_111511_frame0112.jpg_bird_178456_frame0126.jp,g,0.7563067980927064,0.9894281,116,288,38,214,36,333
bat_111511_frame0112.jpg_bird_178456_frame0132.jp,g,0.6261428021199641,0.9895663,116,108,38,214,29,315
bat_111511_frame0112.jpg_bird_205215_frame0073.jp,g,0.8839865992765847,0.987496,348,20,38,214,576,370
bat_111511_frame0112.jpg_bird_205215_frame0094.jp,g,0.8971588397075467,0.98792934,316,20,38,214,546,351
bat_111511_frame0112.jpg_bird_207660_frame0104.jp,g,0.796155472471721,0.99137515,108,20,38,214,73,356
bat_111511_frame0112.jpg_bird_207660_frame0136.jp,g,0.9419790122784426,0.98490167,264,132,38,214,45,225
bat_111511_frame0112.jpg_bird_226646_frame0005.jp,g,0.9637181029793666,0.98414826,116,108,38,214,373,103
bat_111511_frame0112.jpg_bird_226646_frame0297.jp,g,0.9868469630435232,0.98965853,52,136,38,214,71,149
bat_111511_frame0112.jpg_bird_236653_frame0032.jp,g,0.9946013536658644,0.98848456,200,20,38,214,573,215
bat_111511_frame0112.jpg_bird_236653_frame0114.jp,g,0.9483038795273694,0.9867548,32,184,38,214,368,119
bat_111511_frame0112.jpg_bird_250439_frame0139.jp,g,0.7848275584856839,0.9885282,176,20,38,214,597,157
bat_111511_frame0112.jpg_bird_250439_frame0177.jp,g,0.7932705991573439,0.9891255,208,44,38,214,499,66
bat_111511_frame0112.jpg_bird_254284_frame0083.jp,g,0.9560309755625518,0.98571426,164,316,38,214,602,179
bat_111511_frame0112.jpg_bird_254284_frame0094.jp,g,0.9824089655800808,0.988359,100,136,38,214,596,170
bat_111511_frame0112.jpg_bird_259525_frame0144.jp,g,0.7587055318138198,0.99014354,76,44,38,214,163,73
bat_111511_frame0112.jpg_bird_259525_frame0155.jp,g,0.8365919719832465,0.98986304,152,44,38,214,147,53
bat_111511_frame0112.jpg_bird_276789_frame0088.jp,g,0.8660892713038172,0.9855169,304,44,38,214,610,202
bat_111511_frame0112.jpg_bird_276789_frame0381.jp,g,0.8862370593354175,0.98685145,316,20,38,214,52,177
bat_111511_frame0112.jpg_bird_280023_frame0120.jp,g,0.5793432266133093,0.98976666,116,72,38,214,82,344
bat_111511_frame0112.jpg_bird_280023_frame0129.jp,g,0.7330580775499741,0.98951936,260,44,38,214,45,332
bat_111511_frame0112.jpg_bird_283326_frame0064.jp,g,0.7697011625842097,0.9897828,136,200,38,214,540,325
bat_111511_frame0112.jpg_bird_283326_frame0112.jp,g,0.770366558607516,0.9852293,136,20,38,214,457,198
bat_111511_frame0112.jpg_bird_284403_frame0102.jp,g,0.6964135520150122,0.9887717,316,340,38,214,576,312
bat_111511_frame0112.jpg_bird_284403_frame0139.jp,g,0.6955026427060674,0.9886034,316,112,38,214,473,236
bat_111511_frame0112.jpg_bird_290604_frame0091.jp,g,0.8315443547332884,0.98405796,116,20,38,214,589,191
bat_111511_frame0112.jpg_bird_290604_frame0131.jp,g,0.6466771936671919,0.98790437,116,20,38,214,490,128
bat_111511_frame0112.jpg_bird_320545_frame0125.jp,g,0.7198938842383307,0.9867723,32,44,38,214,539,50
bat_111511_frame0112.jpg_bird_320545_frame0127.jp,g,0.7499006108716955,0.9874454,212,72,38,214,539,47
bat_111511_frame0112.jpg_bird_352418_frame0177.jp,g,0.891518697761766,0.9901204,316,136,38,214,110,263
bat_111511_frame0112.jpg_bird_352418_frame0223.jp,g,0.7594023948963269,0.9879781,316,104,38,214,48,226
bat_111511_frame0112.jpg_bird_360977_frame0151.jp,g,0.7938248693793988,0.9896189,316,112,38,214,104,329
bat_111511_frame0112.jpg_bird_360977_frame0191.jp,g,0.6912591757868322,0.98844904,316,112,38,214,50,292
bat_111511_frame0112.jpg_bird_371543_frame0126.jp,g,0.879565293775522,0.98602563,348,20,38,214,593,142
bat_111511_frame0112.jpg_bird_371543_frame0219.jp,g,0.7885071292625805,0.9899669,160,44,38,214,449,104
bat_111511_frame0112.jpg_bird_395848_frame0153.jp,g,0.8738457967884543,0.98871905,192,108,38,214,115,245
bat_111511_frame0112.jpg_bird_395848_frame0208.jp,g,0.7587607320924207,0.9796103,192,200,38,214,55,171
bat_111511_frame0112.jpg_bird_467652_frame0083.jp,g,0.880671195178953,0.98309565,20,20,38,214,102,218
bat_111511_frame0112.jpg_bird_467652_frame0094.jp,g,0.9259946548337598,0.987077,312,200,38,214,74,196
bat_111511_frame0112.jpg_bird_475623_frame0098.jp,g,0.6988648595544326,0.9883222,68,20,38,214,524,268
bat_111511_frame0112.jpg_bird_475623_frame0122.jp,g,0.6642993033362449,0.9885537,212,236,38,214,424,100
bat_111511_frame0112.jpg_bird_499425_frame0137.jp,g,0.919879348966598,0.9852196,304,136,38,214,109,264
bat_111511_frame0112.jpg_bird_499425_frame0197.jp,g,0.9306840873285757,0.9811448,324,160,38,214,43,251
bat_111511_frame0112.jpg_bird_516088_frame0134.jp,g,0.8622507099879347,0.9892863,124,292,38,214,92,105
bat_111511_frame0112.jpg_bird_516088_frame0139.jp,g,0.8948655389608492,0.9893052,124,316,38,214,88,98
bat_111511_frame0112.jpg_bird_522016_frame0093.jp,g,0.9887865021460693,0.9868731,208,172,38,214,67,153
bat_111511_frame0112.jpg_bird_522016_frame0109.jp,g,0.9857984841479384,0.99074286,304,340,38,214,53,143
bat_111511_frame0112.jpg_bird_522529_frame0120.jp,g,0.6908027272202639,0.98529375,108,264,38,214,80,179
bat_111511_frame0112.jpg_bird_522529_frame0129.jp,g,0.7745835591476911,0.9847849,108,196,38,214,52,159
bat_111511_frame0112.jpg_bird_541073_frame0211.jp,g,0.7533544824106189,0.98779696,260,72,38,214,365,133
bat_111511_frame0112.jpg_bird_541073_frame0324.jp,g,0.7949403452736338,0.9862887,112,288,38,214,175,82
bat_111511_frame0112.jpg_bird_573037_frame0136.jp,g,0.9886192036158714,0.9909349,204,92,38,214,81,305
bat_111511_frame0112.jpg_bird_573037_frame0183.jp,g,0.9890964062994576,0.9875421,192,252,38,214,35,242
bat_111511_frame0112.jpg_bird_575907_frame0128.jp,g,0.9194776568087666,0.989558,304,108,38,214,378,77
bat_111511_frame0112.jpg_bird_575907_frame0137.jp,g,0.9201974039997466,0.9846081,316,100,38,214,358,54
bat_111511_frame0112.jpg_bird_584052_frame0141.jp,g,0.7736335405640596,0.9879408,136,20,38,214,174,61
bat_111511_frame0112.jpg_bird_584052_frame0152.jp,g,0.7981441204656843,0.98599136,324,44,38,214,170,50
bat_111511_frame0112.jpg_bird_584787_frame0098.jp,g,0.9647135278538035,0.9695736,316,20,38,214,529,351
bat_111511_frame0112.jpg_bird_584787_frame0185.jp,g,0.9033665961947961,0.9834995,316,24,38,214,382,60
bat_111511_frame0112.jpg_bird_590711_frame0130.jp,g,0.8925402743592178,0.98931295,192,0,38,214,568,202
bat_111511_frame0112.jpg_bird_590711_frame0172.jp,g,0.8714283809729579,0.9898974,168,44,38,214,462,49
bat_111511_frame0112.jpg_bird_606085_frame0100.jp,g,0.8423403329655055,0.98530346,212,88,38,214,574,178
bat_111511_frame0112.jpg_bird_606085_frame0112.jp,g,0.8651027975544208,0.985251,164,272,38,214,557,144
bat_111511_frame0112.jpg_bird_606665_frame0153.jp,g,0.7116324781878557,0.9864315,316,20,38,214,535,200
bat_111511_frame0112.jpg_bird_606665_frame0308.jp,g,0.7262308111166751,0.98662615,152,316,38,214,100,113
bat_111511_frame0112.jpg_bird_614597_frame0117.jp,g,0.9317069072757564,0.98840576,300,292,38,214,58,313
bat_111511_frame0112.jpg_bird_614597_frame0167.jp,g,0.7190760827030849,0.9843323,152,92,38,214,30,197
bat_111511_frame0112.jpg_bird_625909_frame0070.jp,g,0.9668951257991947,0.9860014,208,180,38,214,603,162
bat_111511_frame0112.jpg_bird_625909_frame0084.jp,g,0.9335707617394767,0.9882072,260,92,38,214,572,176
bat_111511_frame0112.jpg_bird_627600_frame0151.jp,g,0.8128359294851252,0.9898315,160,316,38,214,547,326
bat_111511_frame0112.jpg_bird_627600_frame0387.jp,g,0.7912571649970569,0.9866805,316,316,38,214,60,212
bat_111511_frame0112.jpg_bird_627800_frame0067.jp,g,0.9186892436323839,0.9813595,136,340,38,214,535,354
bat_111511_frame0112.jpg_bird_627800_frame0156.jp,g,0.8965981309730107,0.9818313,316,112,38,214,377,58
bat_111511_frame0112.jpg_bird_628450_frame0133.jp,g,0.73152700615312,0.98920083,304,136,38,214,543,377
bat_111511_frame0112.jpg_bird_628450_frame0148.jp,g,0.8288471067803616,0.9866611,316,136,38,214,523,361
bat_111511_frame0112.jpg_bird_639556_frame0089.jp,g,0.5890908063575573,0.9891853,228,20,38,214,600,234
bat_111511_frame0112.jpg_bird_639556_frame0268.jp,g,0.7879616247617399,0.98850125,32,324,38,214,61,140
bat_111511_frame0112.jpg_bird_640539_frame0102.jp,g,0.9036259057325761,0.98426896,136,136,38,214,42,369
bat_111511_frame0112.jpg_bird_640539_frame0116.jp,g,0.8551029155626516,0.9872923,324,180,38,214,31,355
