Filename 1,Filename 2,Max SSIM,Max nccorr,Max SSIM angle,Max nccorr angle,ROI 1 x,ROI 1 y,ROI 2 x,ROI 2 y
bat_111511_frame0112.jpg_bird_185554_frame0115.jp,g,0.4472617669275967,0.9862762,108,288,38,214,552,349
bat_111511_frame0112.jpg_bird_185554_frame0217.jp,g,0.6854342320330964,0.98711824,108,104,38,214,142,47
bat_111511_frame0112.jpg_bird_185554_frame0224.jp,g,0.8133799488822451,0.9870375,108,20,38,214,115,87
bat_111511_frame0112.jpg_bird_185554_frame0226.jp,g,0.7397222637916504,0.9861425,108,312,38,214,107,83
bat_111511_frame0112.jpg_bird_194086_frame0010.jp,g,0.988543775095105,0.9921868,208,224,38,214,509,81
bat_111511_frame0112.jpg_bird_194086_frame0014.jp,g,0.9861119251546548,0.98223126,208,44,38,214,503,82
bat_111511_frame0112.jpg_bird_239352_frame0027.jp,g,0.9918622303621432,0.9921822,32,224,38,214,86,200
bat_111511_frame0112.jpg_bird_239352_frame0045.jp,g,0.9920799598352932,0.98760563,192,8,38,214,44,133
bat_111511_frame0112.jpg_bird_239352_frame0052.jp,g,0.9600251311799619,0.9858063,32,224,38,214,113,95
bat_111511_frame0112.jpg_bird_239352_frame0057.jp,g,0.9712519412325837,0.98751986,208,72,38,214,105,74
bat_111511_frame0112.jpg_bird_288970_frame0169.jp,g,0.9946457549843006,0.9907763,260,108,38,214,556,223
bat_111511_frame0112.jpg_bird_288970_frame0175.jp,g,0.999614436150436,0.9922344,260,108,38,214,552,207
bat_111511_frame0112.jpg_bird_344369_frame0116.jp,g,0.9940133245942481,0.98764443,312,200,38,214,583,294
bat_111511_frame0112.jpg_bird_344369_frame0136.jp,g,0.9889241035155099,0.9838043,168,20,38,214,533,283
bat_111511_frame0112.jpg_bird_418385_frame0313.jp,g,0.9682382535992545,0.9904618,44,252,38,214,80,164
bat_111511_frame0112.jpg_bird_418385_frame0341.jp,g,0.965437397302736,0.98806417,44,104,38,214,31,136
bat_111511_frame0112.jpg_bird_438007_frame0200.jp,g,0.9799293785973368,0.9797038,212,20,38,214,537,147
bat_111511_frame0112.jpg_bird_438007_frame0223.jp,g,0.9779962941505305,0.97888917,212,80,38,214,576,135
bat_111511_frame0112.jpg_bird_457977_frame0129.jp,g,0.9967166345061962,0.9817957,208,72,38,214,84,148
bat_111511_frame0112.jpg_bird_457977_frame0135.jp,g,0.9997005753833864,0.990462,208,220,38,214,75,121
bat_111511_frame0112.jpg_bird_457977_frame0153.jp,g,0.9651793832719032,0.9831328,208,80,38,214,71,179
bat_111511_frame0112.jpg_bird_457977_frame0155.jp,g,0.9987729609991628,0.9907064,24,68,38,214,67,171
bat_111511_frame0112.jpg_bird_457977_frame0172.jp,g,0.9720423785352349,0.98618704,212,44,38,214,111,97
bat_111511_frame0112.jpg_bird_457977_frame0178.jp,g,0.9909146222876808,0.9911615,348,0,38,214,104,69
bat_111511_frame0112.jpg_bird_536808_frame0167.jp,g,0.8407085430699831,0.98527217,316,20,38,214,560,49
bat_111511_frame0112.jpg_bird_536808_frame0218.jp,g,0.6291950497784796,0.9862695,228,112,38,214,478,54
bat_111511_frame0112.jpg_bird_544506_frame0139.jp,g,0.9523792646512599,0.98456717,316,20,38,214,332,44
bat_111511_frame0112.jpg_bird_544506_frame0141.jp,g,0.9505042246738071,0.99010915,316,20,38,214,330,43
bat_111511_frame0112.jpg_bird_660746_frame0057.jp,g,0.9861108148431003,0.9901495,280,4,38,214,558,358
bat_111511_frame0112.jpg_bird_660746_frame0101.jp,g,0.9792002674216127,0.9730674,52,68,38,214,545,297
bat_111511_frame0112.jpg_bird_714613_frame0156.jp,g,0.9981997062499718,0.993805,348,264,38,214,511,242
bat_111511_frame0112.jpg_bird_714613_frame0161.jp,g,0.9827973385140281,0.99181855,260,276,38,214,513,214
bat_111511_frame0112.jpg_bird_714613_frame0180.jp,g,0.9955497525125601,0.9925585,108,68,38,214,488,194
bat_111511_frame0112.jpg_bird_714613_frame0216.jp,g,0.9983301736061105,0.99036247,100,328,38,214,452,58
bat_111511_frame0112.jpg_bird_775752_frame0141.jp,g,0.9973767729086861,0.986439,24,224,38,214,108,131
bat_111511_frame0112.jpg_bird_775752_frame0149.jp,g,0.9832203129160505,0.9878352,260,72,38,214,99,111
bat_111511_frame0112.jpg_bird_775752_frame0154.jp,g,0.9961542609555729,0.9921314,208,44,38,214,130,81
bat_111511_frame0112.jpg_bird_775752_frame0155.jp,g,0.998070998202661,0.9946851,16,44,38,214,122,74
bat_111511_frame0112.jpg_bird_775752_frame0161.jp,g,0.9672307553610231,0.9836476,16,44,38,214,141,47
bat_111511_frame0112.jpg_bird_775752_frame0166.jp,g,0.8335684214399617,0.9902313,260,252,38,214,134,41
bat_111511_frame0112.jpg_bird_927881_frame0236.jp,g,0.7756605985813357,0.97959495,52,88,38,214,134,63
bat_111511_frame0112.jpg_bird_927881_frame0238.jp,g,0.9863955222340569,0.99118954,240,292,38,214,137,61
bat_111511_frame0112.jpg_bird_948603_frame0083.jp,g,0.9965119938863153,0.99309534,8,92,38,214,581,82
bat_111511_frame0112.jpg_bird_948603_frame0119.jp,g,0.9990221827454586,0.99423367,268,112,38,214,526,123
bat_111511_frame0112.jpg_bird_965232_frame0143.jp,g,0.9880259801405559,0.9884864,212,80,38,214,179,50
bat_111511_frame0112.jpg_bird_965232_frame0147.jp,g,0.9830579542073203,0.98651314,16,48,38,214,165,51
bat_111511_frame0112.jpg_bird_981819_frame0114.jp,g,0.9884337178619236,0.9880718,204,20,38,214,595,198
bat_111511_frame0112.jpg_bird_981819_frame0119.jp,g,0.9949465773987074,0.9897579,32,20,38,214,592,181
bat_111511_frame0112.jpg_bird_981819_frame0145.jp,g,0.9877310368273384,0.9866297,24,192,38,214,503,85
bat_111511_frame0112.jpg_bird_981819_frame0153.jp,g,0.9922861879889774,0.98267114,44,172,38,214,474,53
bat_111511_frame0221.jpg_bird_185554_frame0115.jp,g,0.45851174594965083,0.98753875,144,20,52,282,552,349
bat_111511_frame0221.jpg_bird_185554_frame0217.jp,g,0.7018378824849645,0.9875866,260,60,52,282,142,47
bat_111511_frame0221.jpg_bird_185554_frame0224.jp,g,0.8270489094600655,0.9881565,260,160,52,282,115,87
bat_111511_frame0221.jpg_bird_185554_frame0226.jp,g,0.7511301248254842,0.98885447,260,72,52,282,107,83
