Filename,ROI x,ROI y
insect_114417_frame0086.jpg,30,218
insect_114417_frame0100.jpg,63,292
insect_114802_frame0086.jpg,518,259
insect_114802_frame0099.jpg,588,288
insect_114905_frame0107.jpg,76,379
insect_114905_frame0108.jpg,66,385
insect_115184_frame0087.jpg,605,156
insect_115184_frame0185.jpg,81,205
insect_119846_frame0032.jpg,56,179
insect_119846_frame0038.jpg,31,118
insect_121167_frame0085.jpg,562,146
insect_121167_frame0106.jpg,32,194
insect_122273_frame0015.jpg,189,50
insect_122273_frame0056.jpg,555,359
insect_122670_frame0105.jpg,533,197
insect_122670_frame0116.jpg,587,211
insect_122731_frame0129.jpg,467,229
insect_122731_frame0134.jpg,567,130
insect_123480_frame0078.jpg,83,115
insect_123480_frame0083.jpg,109,205
insect_124430_frame0626.jpg,256,126
insect_124430_frame0630.jpg,264,171
insect_125300_frame0085.jpg,395,50
insect_125300_frame0104.jpg,37,127
insect_126247_frame0085.jpg,594,334
insect_126247_frame0091.jpg,561,340
insect_127862_frame0048.jpg,564,96
insect_127862_frame0069.jpg,47,219
insect_127936_frame0090.jpg,370,49
insect_127936_frame0094.jpg,346,46
insect_128119_frame0072.jpg,58,288
insect_128119_frame0077.jpg,113,258
insect_130287_frame0007.jpg,38,204
insect_130287_frame0011.jpg,102,248
insect_131243_frame0261.jpg,610,319
insect_131243_frame0269.jpg,517,91
insect_131279_frame0044.jpg,575,234
insect_131279_frame0098.jpg,131,68
insect_131381_frame0005.jpg,44,261
insect_131381_frame0104.jpg,555,367
insect_131401_frame0379.jpg,567,325
insect_131401_frame0381.jpg,552,302
insect_132446_frame0166.jpg,79,119
insect_132446_frame0188.jpg,227,140
insect_133010_frame0074.jpg,560,123
insect_133010_frame0091.jpg,523,153
insect_133376_frame0084.jpg,606,129
insect_133376_frame0091.jpg,522,100
insect_134638_frame0422.jpg,110,141
insect_134638_frame0436.jpg,32,146
insect_135557_frame0114.jpg,507,119
insect_135557_frame0210.jpg,87,306
insect_137691_frame0078.jpg,514,276
insect_137691_frame0090.jpg,409,160
insect_137739_frame0180.jpg,560,333
insect_137739_frame0204.jpg,555,338
insect_138247_frame0124.jpg,554,162
insect_138247_frame0132.jpg,571,99
insect_138775_frame0095.jpg,548,127
insect_138775_frame0098.jpg,497,66
insect_138792_frame0097.jpg,103,330
insect_138792_frame0100.jpg,93,352
insect_139928_frame0130.jpg,517,352
insect_139928_frame0134.jpg,579,360
insect_140395_frame0209.jpg,122,159
insect_140395_frame0212.jpg,114,139
insect_141042_frame0085.jpg,602,356
insect_141042_frame0090.jpg,542,326
insect_141063_frame0121.jpg,603,265
insect_141063_frame0128.jpg,577,300
insect_141850_frame0085.jpg,193,48
insect_141850_frame0172.jpg,520,133
insect_141912_frame0041.jpg,473,93
insect_141912_frame0042.jpg,454,158
insect_142461_frame0089.jpg,578,230
insect_142461_frame0096.jpg,71,239
insect_144100_frame0285.jpg,591,288
insect_144100_frame0294.jpg,513,328
insect_144453_frame0040.jpg,582,365
insect_144453_frame0041.jpg,559,363
insect_145966_frame0066.jpg,56,238
insect_145966_frame0089.jpg,543,264
insect_146419_frame0116.jpg,81,241
insect_146419_frame0120.jpg,38,198
insect_147049_frame0077.jpg,607,260
insect_147049_frame0090.jpg,591,323
insect_147103_frame0113.jpg,540,159
insect_147103_frame0114.jpg,576,161
insect_148925_frame0087.jpg,30,331
insect_148925_frame0093.jpg,100,322
insect_149086_frame0814.jpg,588,164
insect_149086_frame0827.jpg,492,118
insect_149858_frame0153.jpg,518,246
insect_149858_frame0171.jpg,584,236
insect_150059_frame0098.jpg,93,296
insect_150059_frame0107.jpg,39,342
insect_151130_frame0091.jpg,108,223
insect_151130_frame0098.jpg,45,178
insect_151623_frame0106.jpg,154,51
insect_151623_frame0110.jpg,69,51
